rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
gpt4,vicuna,baize,koala,wizardlm,chatgpt,instructgpt,falcon,cohere,dolly,openassist,redpajama,mpt,alpaca,llama
chatgpt,gpt4,dolly,mpt,vicuna,baize,koala,wizardlm,instructgpt,cohere,openassist,redpajama,alpaca,falcon,llama
baize,cohere,koala,openassist,chatgpt,vicuna,instructgpt,gpt4,dolly,wizardlm,redpajama,mpt,alpaca,falcon,llama
koala,chatgpt,vicuna,dolly,baize,wizardlm,instructgpt,gpt4,cohere,mpt,openassist,redpajama,alpaca,falcon,llama
vicuna,wizardlm,chatgpt,baize,instructgpt,openassist,gpt4,cohere,alpaca,dolly,mpt,redpajama,falcon,llama,koala
chatgpt,alpaca,instructgpt,vicuna,baize,koala,wizardlm,gpt4,cohere,dolly,openassist,redpajama,mpt,falcon,llama
chatgpt,wizardlm,vicuna,baize,koala,instructgpt,gpt4,cohere,dolly,openassist,redpajama,mpt,alpaca,falcon,llama
gpt4,alpaca,vicuna,baize,koala,wizardlm,chatgpt,instructgpt,cohere,dolly,openassist,redpajama,mpt,falcon,llama
baize,dolly,mpt,openassist,alpaca,instructgpt,vicuna,koala,wizardlm,chatgpt,gpt4,cohere,redpajama,falcon,llama
baize,cohere,redpajama,mpt,gpt4,vicuna,koala,wizardlm,chatgpt,instructgpt,dolly,openassist,alpaca,falcon,llama
openassist,redpajama,koala,vicuna,baize,wizardlm,chatgpt,instructgpt,gpt4,cohere,dolly,mpt,alpaca,falcon,llama
baize,wizardlm,mpt,openassist,vicuna,koala,chatgpt,instructgpt,gpt4,cohere,dolly,redpajama,alpaca,falcon,llama
vicuna,wizardlm,openassist,falcon,baize,koala,chatgpt,instructgpt,gpt4,cohere,dolly,redpajama,mpt,alpaca,llama
koala,wizardlm,vicuna,chatgpt,gpt4,redpajama,cohere,mpt,dolly,baize,instructgpt,openassist,alpaca,falcon,llama
mpt,vicuna,gpt4,baize,koala,wizardlm,chatgpt,instructgpt,cohere,dolly,openassist,redpajama,alpaca,falcon,llama
