rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
baize,wizardlm,vicuna,chatgpt,koala,gpt4,instructgpt,openassist,cohere,mpt,falcon,dolly,llama,alpaca,redpajama
falcon,llama,openassist,alpaca,vicuna,koala,chatgpt,instructgpt,cohere,dolly,gpt4,baize,wizardlm,mpt,redpajama
wizardlm,koala,baize,chatgpt,instructgpt,cohere,dolly,vicuna,gpt4,mpt,falcon,openassist,alpaca,redpajama,llama
baize,chatgpt,vicuna,instructgpt,gpt4,wizardlm,openassist,cohere,dolly,falcon,koala,mpt,alpaca,redpajama,llama
chatgpt,wizardlm,baize,cohere,koala,instructgpt,gpt4,vicuna,dolly,falcon,openassist,alpaca,mpt,redpajama,llama
instructgpt,gpt4,dolly,chatgpt,llama,mpt,cohere,alpaca,wizardlm,openassist,falcon,baize,vicuna,redpajama,koala
koala,wizardlm,vicuna,instructgpt,gpt4,baize,chatgpt,mpt,cohere,dolly,falcon,llama,alpaca,openassist,redpajama
baize,chatgpt,cohere,mpt,dolly,koala,wizardlm,llama,vicuna,gpt4,openassist,instructgpt,falcon,alpaca,redpajama
koala,vicuna,dolly,instructgpt,openassist,wizardlm,chatgpt,alpaca,baize,cohere,gpt4,mpt,llama,falcon,redpajama
chatgpt,gpt4,wizardlm,instructgpt,cohere,dolly,mpt,llama,koala,falcon,openassist,vicuna,alpaca,baize,redpajama
vicuna,chatgpt,koala,instructgpt,wizardlm,gpt4,cohere,baize,dolly,llama,falcon,mpt,openassist,alpaca,redpajama
wizardlm,vicuna,gpt4,chatgpt,koala,baize,openassist,instructgpt,cohere,alpaca,falcon,mpt,dolly,llama,redpajama
cohere,gpt4,chatgpt,alpaca,dolly,falcon,instructgpt,wizardlm,vicuna,llama,mpt,koala,baize,openassist,redpajama
baize,chatgpt,instructgpt,wizardlm,vicuna,koala,cohere,dolly,gpt4,openassist,falcon,mpt,alpaca,redpajama,llama
falcon,baize,wizardlm,gpt4,chatgpt,cohere,instructgpt,openassist,dolly,mpt,vicuna,koala,llama,alpaca,redpajama
baize,vicuna,wizardlm,chatgpt,gpt4,koala,instructgpt,dolly,cohere,openassist,mpt,redpajama,falcon,llama,alpaca
wizardlm,koala,instructgpt,vicuna,chatgpt,baize,gpt4,openassist,dolly,cohere,alpaca,mpt,llama,falcon,redpajama
baize,chatgpt,instructgpt,gpt4,cohere,llama,falcon,wizardlm,vicuna,mpt,dolly,openassist,koala,alpaca,redpajama
vicuna,falcon,gpt4,chatgpt,dolly,instructgpt,cohere,mpt,wizardlm,baize,alpaca,openassist,koala,llama,redpajama
vicuna,instructgpt,chatgpt,cohere,dolly,wizardlm,gpt4,openassist,baize,falcon,mpt,koala,llama,alpaca,redpajama
wizardlm,koala,instructgpt,vicuna,gpt4,chatgpt,baize,cohere,dolly,llama,falcon,openassist,mpt,alpaca,redpajama
baize,koala,instructgpt,cohere,vicuna,gpt4,chatgpt,wizardlm,dolly,openassist,falcon,mpt,redpajama,alpaca,llama
vicuna,baize,wizardlm,falcon,mpt,koala,llama,cohere,chatgpt,gpt4,instructgpt,dolly,openassist,alpaca,redpajama
vicuna,wizardlm,chatgpt,instructgpt,baize,alpaca,llama,openassist,gpt4,cohere,dolly,mpt,falcon,koala,redpajama
vicuna,chatgpt,baize,instructgpt,wizardlm,dolly,koala,llama,gpt4,cohere,openassist,falcon,mpt,alpaca,redpajama
baize,wizardlm,gpt4,cohere,chatgpt,mpt,vicuna,instructgpt,falcon,dolly,llama,koala,openassist,alpaca,redpajama
wizardlm,openassist,baize,cohere,vicuna,falcon,chatgpt,instructgpt,gpt4,dolly,koala,llama,mpt,alpaca,redpajama
wizardlm,vicuna,koala,instructgpt,chatgpt,baize,gpt4,cohere,openassist,mpt,dolly,falcon,alpaca,llama,redpajama
koala,chatgpt,gpt4,vicuna,baize,mpt,cohere,wizardlm,llama,dolly,instructgpt,falcon,openassist,redpajama,alpaca
wizardlm,gpt4,vicuna,chatgpt,openassist,baize,llama,alpaca,dolly,koala,falcon,mpt,cohere,instructgpt,redpajama
