rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
chatgpt,vicuna,koala,baize,wizardlm,instructgpt,gpt4,cohere,dolly,mpt,falcon,alpaca,redpajama,openassist,llama
vicuna,baize,wizardlm,chatgpt,koala,instructgpt,gpt4,openassist,cohere,dolly,redpajama,mpt,alpaca,falcon,llama
chatgpt,koala,vicuna,baize,gpt4,wizardlm,openassist,redpajama,mpt,dolly,instructgpt,cohere,alpaca,falcon,llama
dolly,cohere,vicuna,baize,instructgpt,koala,wizardlm,gpt4,chatgpt,openassist,redpajama,mpt,falcon,alpaca,llama
instructgpt,wizardlm,vicuna,gpt4,cohere,baize,koala,openassist,chatgpt,redpajama,dolly,mpt,alpaca,falcon,llama
wizardlm,baize,gpt4,openassist,koala,instructgpt,alpaca,mpt,chatgpt,redpajama,vicuna,cohere,dolly,falcon,llama
dolly,baize,vicuna,wizardlm,koala,chatgpt,gpt4,instructgpt,cohere,falcon,openassist,redpajama,mpt,alpaca,llama
chatgpt,baize,gpt4,wizardlm,openassist,koala,mpt,alpaca,cohere,redpajama,vicuna,dolly,instructgpt,falcon,llama
vicuna,baize,wizardlm,mpt,alpaca,redpajama,cohere,openassist,dolly,gpt4,instructgpt,chatgpt,falcon,koala,llama
instructgpt,vicuna,chatgpt,alpaca,gpt4,cohere,baize,koala,openassist,wizardlm,dolly,redpajama,mpt,falcon,llama
koala,vicuna,wizardlm,chatgpt,openassist,gpt4,cohere,dolly,mpt,redpajama,instructgpt,falcon,alpaca,baize,llama
vicuna,wizardlm,chatgpt,baize,instructgpt,gpt4,koala,cohere,openassist,mpt,redpajama,dolly,alpaca,falcon,llama
